AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
Glassdippen Affiliate Program,Physical Product,10% Per Sale,30 Days,https://glassdippen.com/pages/affiliate-sign-up,"Glassdippen is a global online retailer for a large variety of glass pens, including a large variety of glass dip pens, inks, & Accessories.",Crafts
Locksmith Keyless Affiliate Program,Physical Product,5% - 10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93739&utm_source=getlasso,"Locksmith Keyless is the Leading Distributor of Locksmith Supplies and Locksmith Tools for Automotive, Commercial and Residential Locksmiths.","Automotive, Home Security"
Seabedee Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=89625&utm_source=getlasso,"Seabedee offers relief blends for specific ailments such as anxiety, inflammation, and sleep along with gummies, capsules, and even topicals.","CBD, Health and Wellness"
Lyle & Scott Affiliate Program,Physical Product,3% - 5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/24469,"Lyle & Scott is a profitable, privately owned Scottish brand that has built a reputation for crafting high-quality knitwear and other clothing.",T-Shirt
Beara Beara Affiliate Program,Physical Product,7% Per Sale,Unknown,https://bearabeara.co.uk/affiliates,Beara Beara designs unique leather bags and works in partnership with craftsmen and women to create one-of-a-kind pieces.,Luggage
Trollbeads Affiliate Program,Physical Product,8% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=pnA_kPBwfatY7chuKft4a1tN&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=YyyUHJP82ThXEE9SuOzmdh8I&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=kPEWWufKfYVKNKKBvFQKYV7v52TzTPFLxeBDlfhI7t4&scope=openid&utm_source=getlasso,Trollbeads offers a collection of an exquisite set of interchangeable jewelry pieces which let you create your own look.,Jewelry
The Classic T Shirt Company Affiliate Program,Physical Product,17% Per Sale,15 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93309&utm_source=getlasso,The Classic T-Shirt Company is a family-owned company that provides sustainable high-quality t-shirts for both men and women in all seasons.,T-Shirt
Mickey Lynn Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93223&utm_source=getlasso,"Mickey Lynn creates pieces of sophisticated, durable, unique and made of ethically sourced materials jewelries.",Jewelry
Delilah Home Affiliate Program,Physical Product,8% Per Sale,15 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93528&utm_source=getlasso,"Delilah Home provides natural, sustainable, 100% organic cotton and a safer home textile option for your everyday use.",Sleep
Oradix Inc. Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=93520&utm_source=getlasso,"Oradix Inc. offers professional strength, advanced detoxification, antioxidant, naturally anti-bacterial, antiviral, and anti-fungal products.","Health and Wellness, Supplements"
Nick Chavez Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=93369&utm_source=getlasso,"Nick Chavez Beverly Hills, the professional hair care line created by international celebrity hair stylist Nick Chavez.","Beauty, Hair Product"
Hotels.com UK Affiliate Program,Digital Service,Up to 6% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5275597&utm_source=getlasso#/branded,Hotels.com UK offers hundreds of thousands of places to stay around the world and 90 local websites in 41 languages.,"Hotel, Travel"
Wolf and Badger UK Affiliate Program,Physical Product,8% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=Is2ZPq8smy8kaBdP_YYRHxbt&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=Tr00-kBTROa7T7y_fuH2KIui&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=LaB4efa1B6JEAsO06IOffR_uCtNf7Gp4KKxGeurOuNo&scope=openid&utm_source=getlasso,"Wolf and Badger UK offers an amazing range of  ashion, unique jewellery and much more products by cutting edge designers.","Fashion, Jewelry, Shoes"
Kate Spade UK Limited Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.commissionfactory.com/advertiser-directory/kate-spade-affiliate-program/65218,"Kate Spade UK Limited offers a collection of trendy designer handbags, clothing, accessories, and much more.","Fashion, Luggage, Shoes"
Timberland Affiliate Program,Physical Product,5% Per Sale,30 Days,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=gj2v9dThvqmEfdl6dYb4AoX0&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=zEmLjY3Z3EgGD2nYq3CEtFeo&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=RK9S3bVeVBhosqvlni44S51T6JHAAaqG-zXltAy778Q&scope=openid&utm_source=getlasso,"Timberland offers a wide selection of Men's and Ladies' classic and comfortable Footwear, Apparel, Accessories, and More.",Shoes
Pink Clove Affiliate Program,Physical Product,3% Per Sale,30 Days,https://ui.awin.com/merchant-profile/23257,Pink Clove is the ultimate one-stop shop for the stylish generation of authentic fashion lovers with stylish in-house designs.,Fashion
57hours Affiliate Program,Digital Service,5% Per Sale,90 Days,https://www.avantlink.com/programs/18597/57hours-affiliate-program/,57hours is a platform that curates booking outdoor adventures to worldwide destinations guided by professionals.,"Bicycle, Camping, Mountain Climbing, Sports"
Sugarwish Affiliate Program,Physical Product,10% - 12% Per Sale,Unknown,https://sugarwish.com/us/affiliates,Sugarwish is a unique e-commerce website that provides an original approach to gifting by sending a sweet gift through email or text.,"Food, Gift"
Enlightened Equipment Affiliate Program,Physical Product,4% Per Sale,14 Days,https://www.avantlink.com/programs/17349/enlightened-equipment-affiliate-program/,"Enlightened Equipment is a Minnesota-based camping gear company specializing in handmade, ultralight sleeping quilts.","Camping, Sports"
Fitness First Affiliate Program,Physical Product,£15 Per Member,30 Days,https://signup.performancehorizon.com/signup/en,"Fitness First are experts in everything health and wellbeing, offering fitness classes, equipments, personal trainers & customised workouts.","Fitness, Weight Loss"
Tribit Affiliate Program,Physical Product,6% - 20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=90571&utm_source=getlasso,"Tribit is an audio brand, made more upbeat and fun through quality music and genius design founded by a collective of sound engineers and design maestros.","Electronics, Music"
US Doctors Clinical Affiliate Program,Physical Product,8% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93765&utm_source=getlasso,"US Doctors Clinical offers all doctor-recommended supplements, made with premium sourced ingredients for maximum purity & efficacy.","Health and Wellness, Supplements"
Mr. Big & Tall CA Affiliate Program,Physical Product,2% Per Sale,7 Days,https://ui.awin.com/merchant-profile/18598?pid=51861&awc=4032_1657897110_ec9e1c36b55d642609bb8706e5dc3824&utm_source=getlasso,"Mr. Big & Tall CA offers modern and classic Menswear tees, sweaters, pants, denim, dress shirts, suits, activewear, outerwear, and more.",T-Shirt
Tip Top Canada Affiliate Program,Physical Product,2% Per Sale,7 Days,https://ui.awin.com/merchant-profile/18597?pid=51861&awc=4032_1657897672_6edc115c723bf18e381a3d2d626cbbd7&utm_source=getlasso,"Tip Top Tailors is Canada’s pre-eminent menswear retailer, operates nearly 100 stores coast-to-coast in Canada.",T-Shirt
Hotelogical Global UK Affiliate Program,Digital Service,4% Per Sale,30 Days,https://ui.awin.com/merchant-profile/18476?pid=51861&awc=4032_1657899145_bb206a41c78604f8542d04ab8013cc34&utm_source=getlasso,"Hotelogical Global UK provides members with heavily discounted hotel rates at over 500,000 hotels and resorts worldwide.","Hotel, Travel"
Zing Flowers Affiliate Program,Physical Product,5% - 10% Per Sale,30 Days,https://ui.awin.com/merchant-profile/16684?pid=51861&awc=4032_1657900000_f35ee7e0ba4600a05c3fa9b9ca762fd8&utm_source=getlasso,Zing Flowers is an online florist that believes in delivering beautifully hand-crafted bouquets fast at a reasonable price.,Gift
Boori Affiliate Program,Physical Product,Unknown,30 Days,https://ui.awin.com/merchant-profile/18721?pid=51861&awc=4032_1657901046_4f56312ce59caf8b12f10827cdee1ba3&utm_source=getlasso,Boori is an award-winning nursery & kids' furniture of the highest quality that over 1 million parents trust arounod the world.,Baby Products
Batteries Plus Affiliate Program,Physical Product,2% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=kmnznPHpoS6UQy6MFA91U4Sf&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=4VlTVlu-0T7t7QqwQE162inu&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=z7k7sqOOPaRDM0BG1DDCKPtIfBhy4IualZ4_kNtHNJY&scope=openid&utm_source=getlasso,"Batteries Plus offers a comprehensive selection of nearly 60,000 batteries, light bulbs, and related products and services.",Electronics
Momondo CA Affiliate Program,Digital Service,$0.15 - $0.95,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5247946&utm_source=getlasso#/branded,"Momondo CA offers and compare fares from more than 1000 airlines and travel sites, giving you the best and cheapest rates.","Airline, Travel"
Kayak CA Affiliate Program,Digital Service,"$0.45 per click-out on mobile, $0.65 per click-out on desktop and tablet",Unknown,https://signup.cj.com/member/signup/publisher/?cid=5247945&utm_source=getlasso#/branded,"KAYAK searches hundreds of other travel sites at once to find the information you need for the best rates on flights, hotels & rental cars.","Airline, Travel"
Selpic Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92922&utm_source=getlasso,Selpic is a leader in digital printing solution and has developed innovative new quick-drying handy printer technologies.,Tech
Gold Boutique Affiliate Program,Physical Product,6% Per Sale,30 Days,https://ui.awin.com/merchant-profile/18611?pid=51861&awc=4032_1657906603_b7ba7b4e73466d54cf4911ec0e1db4d1&utm_source=getlasso,"Gold Boutique is the web’s fastest-growing jewelry store, selling a huge inventory ranging from necklaces, and earrings ring to bracelets.",Jewelry
The Knitting Network Affiliate Program,Physical Product,2.5% - 8% Per Sale,30 Days,https://ui.awin.com/merchant-profile/18657?pid=51861&awc=4032_1657907242_04d40acf37a6599dafb5ea8e35902bfb&utm_source=getlasso,"The Knitting Network is the home to a unique, expertly curated range of knitting and crochet yarn, patterns, and accessories.",Crafts
Staunch Nation Affiliate Program Affiliate Program,Physical Product,4% - 5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/16895?pid=51861&awc=4032_1657907585_4a582a2b9ee925f9f66cc5fecf6fb853&utm_source=getlasso,"Staunch is a sports nutrition supplement that is fun, delicious, and most importantly, effective in helping you achieve your goals.","Fitness, Supplements"
Discount Stripper Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=16213&utm_source=getlasso,"Discount Stripper is a specialty store, offering slutty, sexy, and downright whorish (gasp!) stripper clothes at affordable prices.",Adult
Battle Bars LLC Affiliate Program,Physical Product,10% Per Sale,30 Days,https://battlebars.refersion.com/,"Battle Bars LLC is a veteran owned & operated, offering the best-tasting protein-based energy bar on the market.","Food, Nutrition"
FriendWithA Affiliate Program,Physical Product,$20 Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93311&utm_source=getlasso,FriendWithA makes adventures more accessible and affordable by connecting adventure enthusiasts to rent and share their sports equipment.,"Drone, Photography"
UpTrade Affiliate Program,Physical Product,4% - 10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92948&utm_source=getlasso,UpTrade makes buying and selling used smartphones easy and stress-free while offering the most competitive prices for the buyer and seller.,"Cell Phone, Electronics"
Z Grills Affiliate Program,Physical Product,9% Per Sale,60 Days,https://signup.cj.com/member/signup/publisher/?cid=5368282&utm_source=getlasso#/branded,Z Grills is the leading manufacturer in the Pellet Grill Industry. They are providing the highest quality Grills at an affordable price.,Cooking
McAfee Affiliate Program,Digital Product,$10 Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5306132&utm_source=getlasso#/branded,"McAfee is a well-known and award-winning antivirus for PC, Android, and iOS. Browse the web privately, safely, and securely with their VPN.","Antivirus, Home Security, Software"
Sh*t That I Knit Affiliate Program,Physical Product,10% Per Sale,45 Days,https://signup.cj.com/member/signup/publisher/?cid=5337206&utm_source=getlasso#/branded,"Sh*t That I Knit is a knitwear and accessories brand specializing in high-quality beanies, mittens, wraps, ponchos, and cowls.",Fashion
Roadtrippers.com Affiliate Program,Digital Service,$5 Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=vJYVl9Kz1MBWlwGhxu_mNS6A&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=dMEzoZEZlaNmAUHR8LpxVB0S&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=0Tpt163DWt4WcraaZzBgZxQ3LRTs_mKZEKO4BhyqZ2k&scope=openid&utm_source=getlasso,"Roadtrippers is the world’s #1 road trip planning tool, with more than 25 million trips planned to date covering more than 16.9 billion miles.",Travel
Techbuyer Affiliate Program,Physical Product,3% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=vJYVl9Kz1MBWlwGhxu_mNS6A&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=dMEzoZEZlaNmAUHR8LpxVB0S&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=0Tpt163DWt4WcraaZzBgZxQ3LRTs_mKZEKO4BhyqZ2k&scope=openid&utm_source=getlasso,"Techbuyer is a global leader in the buying, selling, new, and refurbished servers, storage, and networking hardware.",Tech
